Pavarde           Vardas                Galutinis (Vid.)    Galutinis (Med.)
Pavarde91061      Vardas91061                       4.86                4.80
Pavarde91062      Vardas91062                       7.44                7.60
Pavarde91063      Vardas91063                       6.26                6.20
Pavarde91064      Vardas91064                       2.48                2.20
Pavarde91065      Vardas91065                       3.78                4.00
Pavarde91066      Vardas91066                       7.20                7.00
Pavarde91067      Vardas91067                       3.92                4.00
Pavarde91068      Vardas91068                       2.52                2.20
Pavarde91069      Vardas91069                       6.32                6.20
Pavarde9107       Vardas9107                        7.66                7.80
Pavarde91070      Vardas91070                       2.34                2.20
Pavarde91071      Vardas91071                       7.90                7.60
Pavarde91072      Vardas91072                       7.54                7.40
Pavarde91073      Vardas91073                       4.94                5.60
Pavarde91074      Vardas91074                       5.66                6.00
Pavarde91075      Vardas91075                       4.82                4.60
Pavarde91076      Vardas91076                       5.00                5.20
Pavarde91077      Vardas91077                       3.30                3.20
Pavarde91078      Vardas91078                       3.54                3.80
Pavarde91079      Vardas91079                       4.18                4.20
Pavarde9108       Vardas9108                        6.74                6.80
Pavarde91080      Vardas91080                       5.32                5.00
Pavarde91081      Vardas91081                       6.78                6.60
Pavarde91082      Vardas91082                       4.12                4.20
Pavarde91083      Vardas91083                       3.62                3.80
Pavarde91084      Vardas91084                       3.42                3.60
Pavarde91085      Vardas91085                       3.86                4.00
Pavarde91086      Vardas91086                       8.22                8.20
Pavarde91087      Vardas91087                       8.40                8.40
Pavarde91088      Vardas91088                       7.84                8.40
Pavarde91089      Vardas91089                       2.52                2.40
Pavarde9109       Vardas9109                        4.76                4.80
Pavarde91090      Vardas91090                       8.14                8.60
Pavarde91091      Vardas91091                       7.46                7.60
Pavarde91092      Vardas91092                       3.14                2.80
Pavarde91093      Vardas91093                       6.04                6.20
Pavarde91094      Vardas91094                       6.68                6.40
Pavarde91095      Vardas91095                       5.08                4.80
Pavarde91096      Vardas91096                       5.24                5.40
Pavarde91097      Vardas91097                       2.82                2.80
Pavarde91098      Vardas91098                       2.84                3.00
Pavarde91099      Vardas91099                       8.22                8.40
Pavarde911        Vardas911                         8.40                8.20
Pavarde9110       Vardas9110                        7.28                7.60
Pavarde91100      Vardas91100                       8.30                8.60
Pavarde91101      Vardas91101                       6.20                7.00
Pavarde91102      Vardas91102                       6.90                6.80
Pavarde91103      Vardas91103                       4.58                4.80
Pavarde91104      Vardas91104                       6.70                6.40
Pavarde91105      Vardas91105                       7.34                7.20
Pavarde91106      Vardas91106                       5.14                5.00
Pavarde91107      Vardas91107                       8.28                8.00
Pavarde91108      Vardas91108                       8.58                8.60
Pavarde91109      Vardas91109                       5.76                5.80
Pavarde9111       Vardas9111                        8.02                8.20
Pavarde91110      Vardas91110                       8.40                8.40
Pavarde91111      Vardas91111                       2.66                2.60
Pavarde91112      Vardas91112                       6.80                6.60
Pavarde91113      Vardas91113                       6.18                6.80
Pavarde91114      Vardas91114                       5.10                5.60
Pavarde91115      Vardas91115                       6.78                6.80
Pavarde91116      Vardas91116                       7.44                7.60
Pavarde91117      Vardas91117                       5.82                6.00
Pavarde91118      Vardas91118                       5.76                5.20
Pavarde91119      Vardas91119                       7.72                7.80
Pavarde9112       Vardas9112                        3.60                3.80
Pavarde91120      Vardas91120                       4.38                4.40
Pavarde91121      Vardas91121                       5.90                6.20
Pavarde91122      Vardas91122                       8.02                7.60
Pavarde91123      Vardas91123                       3.78                3.80
Pavarde91124      Vardas91124                       7.82                7.80
Pavarde91125      Vardas91125                       2.88                2.80
Pavarde91126      Vardas91126                       3.76                4.20
Pavarde91127      Vardas91127                       7.88                7.80
Pavarde91128      Vardas91128                       5.78                6.00
Pavarde91129      Vardas91129                       2.50                2.20
Pavarde9113       Vardas9113                        4.84                4.80
Pavarde91130      Vardas91130                       3.46                3.60
Pavarde91131      Vardas91131                       2.82                2.40
Pavarde91132      Vardas91132                       2.90                3.20
Pavarde91133      Vardas91133                       4.90                5.00
Pavarde91134      Vardas91134                       2.30                2.60
Pavarde91135      Vardas91135                       5.52                5.00
Pavarde91136      Vardas91136                       6.10                5.80
Pavarde91137      Vardas91137                       2.86                3.00
Pavarde91138      Vardas91138                       6.82                6.80
Pavarde91139      Vardas91139                       7.08                6.80
Pavarde9114       Vardas9114                        5.40                5.20
Pavarde91140      Vardas91140                       6.24                6.20
Pavarde91141      Vardas91141                       7.56                7.60
Pavarde91142      Vardas91142                       6.52                6.40
Pavarde91143      Vardas91143                       5.28                5.80
Pavarde91144      Vardas91144                       3.32                3.40
Pavarde91145      Vardas91145                       8.00                7.80
Pavarde91146      Vardas91146                       4.70                4.60
Pavarde91147      Vardas91147                       6.24                6.00
Pavarde91148      Vardas91148                       6.74                6.60
Pavarde91149      Vardas91149                       7.06                7.20
Pavarde9115       Vardas9115                        8.00                8.00
Pavarde91150      Vardas91150                       6.66                6.60
Pavarde91151      Vardas91151                       6.74                6.60
Pavarde91152      Vardas91152                       4.00                4.20
Pavarde91153      Vardas91153                       4.00                3.80
Pavarde91154      Vardas91154                       2.86                2.80
Pavarde91155      Vardas91155                       7.88                7.80
Pavarde91156      Vardas91156                       2.60                2.60
Pavarde91157      Vardas91157                       6.62                6.80
Pavarde91158      Vardas91158                       3.20                3.40
Pavarde91159      Vardas91159                       6.14                6.40
Pavarde9116       Vardas9116                        8.48                8.60
Pavarde91160      Vardas91160                       3.92                3.80
Pavarde91161      Vardas91161                       7.06                7.00
Pavarde91162      Vardas91162                       2.90                2.60
Pavarde91163      Vardas91163                       5.74                5.80
Pavarde91164      Vardas91164                       4.70                4.80
Pavarde91165      Vardas91165                       3.54                3.80
Pavarde91166      Vardas91166                       3.28                3.20
Pavarde91167      Vardas91167                       6.46                6.60
Pavarde91168      Vardas91168                       3.62                3.80
Pavarde91169      Vardas91169                       6.12                5.80
Pavarde9117       Vardas9117                        6.44                6.60
Pavarde91170      Vardas91170                       4.24                4.40
Pavarde91171      Vardas91171                       3.58                3.40
Pavarde91172      Vardas91172                       4.78                4.80
Pavarde91173      Vardas91173                       4.72                4.20
Pavarde91174      Vardas91174                       7.42                7.00
Pavarde91175      Vardas91175                       5.02                4.80
Pavarde91176      Vardas91176                       5.34                5.00
Pavarde91177      Vardas91177                       3.30                3.60
Pavarde91178      Vardas91178                       2.66                2.40
Pavarde91179      Vardas91179                       8.28                8.00
Pavarde9118       Vardas9118                        6.54                6.40
Pavarde91180      Vardas91180                       6.86                6.80
Pavarde91181      Vardas91181                       5.24                5.40
Pavarde91182      Vardas91182                       6.44                6.20
Pavarde91183      Vardas91183                       3.60                3.60
Pavarde91184      Vardas91184                       7.56                7.40
Pavarde91185      Vardas91185                       5.88                6.20
Pavarde91186      Vardas91186                       6.52                6.20
Pavarde91187      Vardas91187                       3.96                4.00
Pavarde91188      Vardas91188                       6.52                6.60
Pavarde91189      Vardas91189                       7.86                7.80
Pavarde9119       Vardas9119                        5.36                5.60
Pavarde91190      Vardas91190                       3.38                3.20
Pavarde91191      Vardas91191                       5.58                5.20
Pavarde91192      Vardas91192                       6.04                5.80
Pavarde91193      Vardas91193                       6.22                6.20
Pavarde91194      Vardas91194                       7.64                7.40
Pavarde91195      Vardas91195                       5.24                5.60
Pavarde91196      Vardas91196                       7.56                7.40
Pavarde91197      Vardas91197                       8.82                8.80
Pavarde91198      Vardas91198                       7.82                7.20
Pavarde91199      Vardas91199                       3.20                3.20
Pavarde912        Vardas912                         7.22                7.20
Pavarde9120       Vardas9120                        8.30                8.20
Pavarde91200      Vardas91200                       6.08                6.20
Pavarde91201      Vardas91201                       3.40                3.40
Pavarde91202      Vardas91202                       8.10                8.20
Pavarde91203      Vardas91203                       6.92                6.80
Pavarde91204      Vardas91204                       4.22                4.40
Pavarde91205      Vardas91205                       7.22                7.40
Pavarde91206      Vardas91206                       4.26                4.00
Pavarde91207      Vardas91207                       4.14                3.80
Pavarde91208      Vardas91208                       3.98                4.00
Pavarde91209      Vardas91209                       2.42                2.20
Pavarde9121       Vardas9121                        8.06                7.80
Pavarde91210      Vardas91210                       5.30                5.20
Pavarde91211      Vardas91211                       2.66                2.40
Pavarde91212      Vardas91212                       4.28                4.40
Pavarde91213      Vardas91213                       4.88                4.80
Pavarde91214      Vardas91214                       2.76                2.80
Pavarde91215      Vardas91215                       8.60                8.40
Pavarde91216      Vardas91216                       5.78                6.00
Pavarde91217      Vardas91217                       3.06                3.40
Pavarde91218      Vardas91218                       5.50                5.80
Pavarde91219      Vardas91219                       6.50                6.20
Pavarde9122       Vardas9122                        3.88                4.00
Pavarde91220      Vardas91220                       5.46                5.40
Pavarde91221      Vardas91221                       7.36                7.20
Pavarde91222      Vardas91222                       2.60                2.20
Pavarde91223      Vardas91223                       6.88                6.80
Pavarde91224      Vardas91224                       3.18                2.80
Pavarde91225      Vardas91225                       8.20                8.40
Pavarde91226      Vardas91226                       5.30                5.60
Pavarde91227      Vardas91227                       5.06                5.20
Pavarde91228      Vardas91228                       5.58                5.40
Pavarde91229      Vardas91229                       6.64                6.60
Pavarde9123       Vardas9123                        2.80                3.00
Pavarde91230      Vardas91230                       6.12                6.00
Pavarde91231      Vardas91231                       6.70                6.80
Pavarde91232      Vardas91232                       6.08                5.80
Pavarde91233      Vardas91233                       6.28                5.80
Pavarde91234      Vardas91234                       2.62                2.60
Pavarde91235      Vardas91235                       2.76                2.80
Pavarde91236      Vardas91236                       7.04                7.00
Pavarde91237      Vardas91237                       6.60                6.40
Pavarde91238      Vardas91238                       3.28                3.20
Pavarde91239      Vardas91239                       3.00                3.00
Pavarde9124       Vardas9124                        3.36                3.20
Pavarde91240      Vardas91240                       8.06                8.00
Pavarde91241      Vardas91241                       7.34                7.40
Pavarde91242      Vardas91242                       4.74                4.80
Pavarde91243      Vardas91243                       7.68                8.00
Pavarde91244      Vardas91244                       6.88                7.20
Pavarde91245      Vardas91245                       6.42                6.40
Pavarde91246      Vardas91246                       3.86                3.80
Pavarde91247      Vardas91247                       5.72                5.60
Pavarde91248      Vardas91248                       7.54                7.40
Pavarde91249      Vardas91249                       4.38                4.00
Pavarde9125       Vardas9125                        5.54                5.60
Pavarde91250      Vardas91250                       7.56                8.00
Pavarde91251      Vardas91251                       3.78                4.00
Pavarde91252      Vardas91252                       5.26                5.40
Pavarde91253      Vardas91253                       5.70                6.00
Pavarde91254      Vardas91254                       7.60                7.40
Pavarde91255      Vardas91255                       5.34                5.40
Pavarde91256      Vardas91256                       3.12                3.00
Pavarde91257      Vardas91257                       3.22                3.20
Pavarde91258      Vardas91258                       4.92                5.00
Pavarde91259      Vardas91259                       4.02                3.80
Pavarde9126       Vardas9126                        6.62                6.80
Pavarde91260      Vardas91260                       4.78                5.00
Pavarde91261      Vardas91261                       7.10                6.80
Pavarde91262      Vardas91262                       7.64                7.80
Pavarde91263      Vardas91263                       3.38                3.20
Pavarde91264      Vardas91264                       5.50                5.20
Pavarde91265      Vardas91265                       7.28                7.40
Pavarde91266      Vardas91266                       3.24                3.00
Pavarde91267      Vardas91267                       6.12                5.80
Pavarde91268      Vardas91268                       3.88                3.80
Pavarde91269      Vardas91269                       7.38                7.60
Pavarde9127       Vardas9127                        7.46                7.20
Pavarde91270      Vardas91270                       6.68                6.60
Pavarde91271      Vardas91271                       4.88                5.00
Pavarde91272      Vardas91272                       4.42                4.80
Pavarde91273      Vardas91273                       5.38                5.80
Pavarde91274      Vardas91274                       4.46                4.20
Pavarde91275      Vardas91275                       4.26                4.40
Pavarde91276      Vardas91276                       3.50                3.60
Pavarde91277      Vardas91277                       7.18                7.60
Pavarde91278      Vardas91278                       3.32                3.20
Pavarde91279      Vardas91279                       3.96                3.80
Pavarde9128       Vardas9128                        6.60                6.80
Pavarde91280      Vardas91280                       7.24                7.00
Pavarde91281      Vardas91281                       5.72                6.00
Pavarde91282      Vardas91282                       5.34                5.40
Pavarde91283      Vardas91283                       4.00                4.00
Pavarde91284      Vardas91284                       7.66                7.60
Pavarde91285      Vardas91285                       4.38                4.40
Pavarde91286      Vardas91286                       6.34                6.20
Pavarde91287      Vardas91287                       5.28                4.80
Pavarde91288      Vardas91288                       6.28                6.40
Pavarde91289      Vardas91289                       3.50                3.60
Pavarde9129       Vardas9129                        7.34                7.60
Pavarde91290      Vardas91290                       5.06                5.20
Pavarde91291      Vardas91291                       3.68                4.00
Pavarde91292      Vardas91292                       3.48                3.60
Pavarde91293      Vardas91293                       7.54                7.60
Pavarde91294      Vardas91294                       5.04                5.60
Pavarde91295      Vardas91295                       5.98                6.00
Pavarde91296      Vardas91296                       7.90                8.00
Pavarde91297      Vardas91297                       3.40                3.60
Pavarde91298      Vardas91298                       6.90                6.80
Pavarde91299      Vardas91299                       5.90                6.00
Pavarde913        Vardas913                         3.40                3.40
Pavarde9130       Vardas9130                        6.16                6.00
Pavarde91300      Vardas91300                       7.02                7.20
Pavarde91301      Vardas91301                       2.76                2.80
Pavarde91302      Vardas91302                       5.86                5.60
Pavarde91303      Vardas91303                       5.06                5.60
Pavarde91304      Vardas91304                       5.78                6.00
Pavarde91305      Vardas91305                       2.56                2.80
Pavarde91306      Vardas91306                       4.92                5.20
Pavarde91307      Vardas91307                       8.22                7.80
Pavarde91308      Vardas91308                       2.68                2.60
Pavarde91309      Vardas91309                       6.86                7.00
Pavarde9131       Vardas9131                        7.82                7.80
Pavarde91310      Vardas91310                       5.54                5.40
Pavarde91311      Vardas91311                       5.70                5.60
Pavarde91312      Vardas91312                       4.92                4.60
Pavarde91313      Vardas91313                       7.92                8.00
Pavarde91314      Vardas91314                       5.54                5.20
Pavarde91315      Vardas91315                       7.34                7.20
Pavarde91316      Vardas91316                       4.56                4.60
Pavarde91317      Vardas91317                       5.36                4.80
Pavarde91318      Vardas91318                       4.08                3.60
Pavarde91319      Vardas91319                       3.80                4.00
Pavarde9132       Vardas9132                        7.38                7.20
Pavarde91320      Vardas91320                       2.98                3.00
Pavarde91321      Vardas91321                       8.20                8.20
Pavarde91322      Vardas91322                       6.52                6.20
Pavarde91323      Vardas91323                       8.26                8.40
Pavarde91324      Vardas91324                       5.06                5.20
Pavarde91325      Vardas91325                       5.56                5.60
Pavarde91326      Vardas91326                       6.28                6.20
Pavarde91327      Vardas91327                       3.20                2.80
Pavarde91328      Vardas91328                       3.46                3.60
Pavarde91329      Vardas91329                       3.24                3.80
Pavarde9133       Vardas9133                        3.76                4.00
Pavarde91330      Vardas91330                       4.92                4.60
Pavarde91331      Vardas91331                       5.48                6.00
Pavarde91332      Vardas91332                       4.74                4.60
Pavarde91333      Vardas91333                       4.30                4.40
Pavarde91334      Vardas91334                       5.96                5.60
Pavarde91335      Vardas91335                       4.56                4.40
Pavarde91336      Vardas91336                       7.92                8.00
Pavarde91337      Vardas91337                       5.12                4.80
Pavarde91338      Vardas91338                       6.92                6.80
Pavarde91339      Vardas91339                       6.08                6.40
Pavarde9134       Vardas9134                        5.24                5.80
Pavarde91340      Vardas91340                       7.36                7.60
Pavarde91341      Vardas91341                       8.02                8.20
Pavarde91342      Vardas91342                       5.62                6.20
Pavarde91343      Vardas91343                       7.56                7.60
Pavarde91344      Vardas91344                       3.14                3.40
Pavarde91345      Vardas91345                       7.06                7.00
Pavarde91346      Vardas91346                       5.26                5.20
Pavarde91347      Vardas91347                       2.46                2.40
Pavarde91348      Vardas91348                       3.32                3.20
Pavarde91349      Vardas91349                       4.04                4.00
Pavarde9135       Vardas9135                        4.38                4.40
Pavarde91350      Vardas91350                       2.46                2.20
Pavarde91351      Vardas91351                       6.36                6.20
Pavarde91352      Vardas91352                       3.10                3.20
Pavarde91353      Vardas91353                       4.04                4.20
Pavarde91354      Vardas91354                       2.50                2.00
Pavarde91355      Vardas91355                       5.86                6.00
Pavarde91356      Vardas91356                       6.78                6.80
Pavarde91357      Vardas91357                       5.72                6.20
Pavarde91358      Vardas91358                       6.80                6.80
Pavarde91359      Vardas91359                       4.60                4.60
Pavarde9136       Vardas9136                        7.12                7.00
Pavarde91360      Vardas91360                       3.98                4.00
Pavarde91361      Vardas91361                       5.76                5.80
Pavarde91362      Vardas91362                       6.52                6.00
Pavarde91363      Vardas91363                       7.36                7.20
Pavarde91364      Vardas91364                       3.52                3.20
Pavarde91365      Vardas91365                       6.52                6.80
Pavarde91366      Vardas91366                       6.88                6.60
Pavarde91367      Vardas91367                       2.94                2.80
Pavarde91368      Vardas91368                       4.60                4.60
Pavarde91369      Vardas91369                       7.98                8.00
Pavarde9137       Vardas9137                        5.34                5.00
Pavarde91370      Vardas91370                       4.98                5.40
Pavarde91371      Vardas91371                       3.02                3.20
Pavarde91372      Vardas91372                       5.20                5.40
Pavarde91373      Vardas91373                       5.48                5.80
Pavarde91374      Vardas91374                       3.48                3.60
Pavarde91375      Vardas91375                       4.30                4.40
Pavarde91376      Vardas91376                       6.16                5.80
Pavarde91377      Vardas91377                       3.90                3.60
Pavarde91378      Vardas91378                       4.62                4.20
Pavarde91379      Vardas91379                       3.52                3.80
Pavarde9138       Vardas9138                        8.28                8.00
Pavarde91380      Vardas91380                       3.32                3.00
Pavarde91381      Vardas91381                       6.06                5.80
Pavarde91382      Vardas91382                       5.72                6.20
Pavarde91383      Vardas91383                       4.10                4.00
Pavarde91384      Vardas91384                       7.18                7.20
Pavarde91385      Vardas91385                       6.42                6.20
Pavarde91386      Vardas91386                       4.32                4.40
Pavarde91387      Vardas91387                       7.92                7.80
Pavarde91388      Vardas91388                       3.46                3.60
Pavarde91389      Vardas91389                       3.94                4.20
Pavarde9139       Vardas9139                        7.70                7.80
Pavarde91390      Vardas91390                       5.76                6.00
Pavarde91391      Vardas91391                       7.68                7.60
Pavarde91392      Vardas91392                       4.28                4.40
Pavarde91393      Vardas91393                       8.24                8.20
Pavarde91394      Vardas91394                       7.30                7.40
Pavarde91395      Vardas91395                       5.58                5.40
Pavarde91396      Vardas91396                       3.46                3.40
Pavarde91397      Vardas91397                       4.62                4.40
Pavarde91398      Vardas91398                       4.10                4.00
Pavarde91399      Vardas91399                       3.48                3.40
Pavarde914        Vardas914                         8.38                8.40
Pavarde9140       Vardas9140                        7.50                7.80
Pavarde91400      Vardas91400                       3.92                3.80
Pavarde91401      Vardas91401                       7.26                7.40
Pavarde91402      Vardas91402                       7.62                7.40
Pavarde91403      Vardas91403                       6.66                6.60
Pavarde91404      Vardas91404                       4.48                4.20
Pavarde91405      Vardas91405                       7.14                6.80
Pavarde91406      Vardas91406                       3.58                3.40
Pavarde91407      Vardas91407                       4.86                4.40
Pavarde91408      Vardas91408                       7.42                8.00
Pavarde91409      Vardas91409                       6.88                7.00
Pavarde9141       Vardas9141                        5.68                6.20
Pavarde91410      Vardas91410                       5.44                5.60
Pavarde91411      Vardas91411                       6.06                6.00
Pavarde91412      Vardas91412                       4.90                5.20
Pavarde91413      Vardas91413                       3.42                3.40
Pavarde91414      Vardas91414                       8.38                8.60
Pavarde91415      Vardas91415                       4.40                4.40
Pavarde91416      Vardas91416                       3.34                3.60
Pavarde91417      Vardas91417                       6.24                6.00
Pavarde91418      Vardas91418                       3.58                3.20
Pavarde91419      Vardas91419                       7.86                8.00
Pavarde9142       Vardas9142                        7.76                7.80
Pavarde91420      Vardas91420                       2.48                2.20
Pavarde91421      Vardas91421                       3.06                2.60
Pavarde91422      Vardas91422                       7.30                7.60
Pavarde91423      Vardas91423                       5.48                5.20
Pavarde91424      Vardas91424                       2.46                2.60
Pavarde91425      Vardas91425                       6.58                6.60
Pavarde91426      Vardas91426                       3.88                3.40
Pavarde91427      Vardas91427                       3.90                3.80
Pavarde91428      Vardas91428                       5.30                5.40
Pavarde91429      Vardas91429                       7.10                7.60
Pavarde9143       Vardas9143                        7.84                8.00
Pavarde91430      Vardas91430                       6.96                7.00
Pavarde91431      Vardas91431                       3.34                3.20
Pavarde91432      Vardas91432                       5.20                5.20
Pavarde91433      Vardas91433                       6.68                7.00
Pavarde91434      Vardas91434                       6.64                6.80
Pavarde91435      Vardas91435                       3.88                3.80
Pavarde91436      Vardas91436                       2.82                2.80
Pavarde91437      Vardas91437                       4.20                4.40
Pavarde91438      Vardas91438                       4.92                4.60
Pavarde91439      Vardas91439                       5.00                5.20
Pavarde9144       Vardas9144                        3.62                3.60
Pavarde91440      Vardas91440                       3.42                3.40
Pavarde91441      Vardas91441                       4.32                5.00
Pavarde91442      Vardas91442                       5.34                5.40
Pavarde91443      Vardas91443                       6.68                6.80
Pavarde91444      Vardas91444                       5.64                5.60
Pavarde91445      Vardas91445                       4.56                4.60
Pavarde91446      Vardas91446                       5.42                5.20
Pavarde91447      Vardas91447                       4.20                4.00
Pavarde91448      Vardas91448                       3.52                3.40
Pavarde91449      Vardas91449                       3.84                3.80
Pavarde9145       Vardas9145                        6.88                6.80
Pavarde91450      Vardas91450                       6.50                6.60
Pavarde91451      Vardas91451                       7.82                8.20
Pavarde91452      Vardas91452                       4.20                3.80
Pavarde91453      Vardas91453                       4.04                4.00
Pavarde91454      Vardas91454                       4.66                4.80
Pavarde91455      Vardas91455                       6.64                7.20
Pavarde91456      Vardas91456                       6.66                6.80
Pavarde91457      Vardas91457                       2.82                3.00
Pavarde91458      Vardas91458                       5.12                5.20
Pavarde91459      Vardas91459                       3.66                3.40
Pavarde9146       Vardas9146                        5.52                5.60
Pavarde91460      Vardas91460                       4.86                4.80
Pavarde91461      Vardas91461                       5.54                5.60
Pavarde91462      Vardas91462                       7.30                7.60
Pavarde91463      Vardas91463                       8.22                8.40
Pavarde91464      Vardas91464                       3.98                3.80
Pavarde91465      Vardas91465                       6.78                6.80
Pavarde91466      Vardas91466                       3.94                4.20
Pavarde91467      Vardas91467                       4.22                4.00
Pavarde91468      Vardas91468                       6.16                6.20
Pavarde91469      Vardas91469                       8.60                9.00
Pavarde9147       Vardas9147                        4.84                5.00
Pavarde91470      Vardas91470                       8.58                8.80
Pavarde91471      Vardas91471                       3.46                3.40
Pavarde91472      Vardas91472                       6.26                6.80
Pavarde91473      Vardas91473                       6.36                6.20
Pavarde91474      Vardas91474                       4.70                4.80
Pavarde91475      Vardas91475                       5.74                6.00
Pavarde91476      Vardas91476                       6.46                6.60
Pavarde91477      Vardas91477                       5.96                6.20
Pavarde91478      Vardas91478                       5.14                5.00
Pavarde91479      Vardas91479                       6.16                6.60
Pavarde9148       Vardas9148                        5.18                5.40
Pavarde91480      Vardas91480                       5.70                5.60
Pavarde91481      Vardas91481                       5.16                5.00
Pavarde91482      Vardas91482                       3.12                3.60
Pavarde91483      Vardas91483                       8.10                7.80
Pavarde91484      Vardas91484                       5.86                6.00
Pavarde91485      Vardas91485                       5.10                5.20
Pavarde91486      Vardas91486                       4.90                4.80
Pavarde91487      Vardas91487                       4.76                4.60
Pavarde91488      Vardas91488                       3.04                3.00
Pavarde91489      Vardas91489                       4.24                4.00
Pavarde9149       Vardas9149                        7.02                6.80
Pavarde91490      Vardas91490                       6.60                6.60
Pavarde91491      Vardas91491                       3.22                3.20
Pavarde91492      Vardas91492                       3.46                3.80
Pavarde91493      Vardas91493                       4.06                4.00
Pavarde91494      Vardas91494                       4.98                5.00
Pavarde91495      Vardas91495                       4.74                4.60
Pavarde91496      Vardas91496                       4.16                4.20
Pavarde91497      Vardas91497                       6.26                6.20
Pavarde91498      Vardas91498                       8.38                8.60
Pavarde91499      Vardas91499                       5.12                4.80
Pavarde915        Vardas915                         4.02                4.00
Pavarde9150       Vardas9150                        2.74                2.60
Pavarde91500      Vardas91500                       7.36                7.40
Pavarde91501      Vardas91501                       4.74                4.60
Pavarde91502      Vardas91502                       3.76                3.20
Pavarde91503      Vardas91503                       4.58                4.40
Pavarde91504      Vardas91504                       2.78                2.60
Pavarde91505      Vardas91505                       5.58                5.80
Pavarde91506      Vardas91506                       5.88                6.20
Pavarde91507      Vardas91507                       6.08                6.40
Pavarde91508      Vardas91508                       4.64                4.40
Pavarde91509      Vardas91509                       3.18                3.00
Pavarde9151       Vardas9151                        4.86                4.60
Pavarde91510      Vardas91510                       6.44                6.40
Pavarde91511      Vardas91511                       6.34                6.40
Pavarde91512      Vardas91512                       8.16                8.20
Pavarde91513      Vardas91513                       3.70                4.20
Pavarde91514      Vardas91514                       4.00                4.00
Pavarde91515      Vardas91515                       2.48                2.60
Pavarde91516      Vardas91516                       4.54                4.80
Pavarde91517      Vardas91517                       2.14                2.20
Pavarde91518      Vardas91518                       7.34                7.40
Pavarde91519      Vardas91519                       3.74                3.40
Pavarde9152       Vardas9152                        6.14                5.80
Pavarde91520      Vardas91520                       2.72                2.40
Pavarde91521      Vardas91521                       6.60                6.40
Pavarde91522      Vardas91522                       7.72                7.80
Pavarde91523      Vardas91523                       4.12                4.20
Pavarde91524      Vardas91524                       3.08                3.40
Pavarde91525      Vardas91525                       2.96                2.80
Pavarde91526      Vardas91526                       5.94                6.00
Pavarde91527      Vardas91527                       4.94                4.60
Pavarde91528      Vardas91528                       8.20                8.40
Pavarde91529      Vardas91529                       7.34                7.40
Pavarde9153       Vardas9153                        5.68                5.40
Pavarde91530      Vardas91530                       7.92                7.80
Pavarde91531      Vardas91531                       6.44                6.60
Pavarde91532      Vardas91532                       6.68                6.80
Pavarde91533      Vardas91533                       6.68                6.60
Pavarde91534      Vardas91534                       8.16                8.20
Pavarde91535      Vardas91535                       3.16                3.40
Pavarde91536      Vardas91536                       6.30                6.20
Pavarde91537      Vardas91537                       2.90                2.60
Pavarde91538      Vardas91538                       7.36                7.40
Pavarde91539      Vardas91539                       4.70                4.60
Pavarde9154       Vardas9154                        3.12                3.40
Pavarde91540      Vardas91540                       7.92                8.20
Pavarde91541      Vardas91541                       2.74                2.60
Pavarde91542      Vardas91542                       6.78                6.60
Pavarde91543      Vardas91543                       7.44                7.40
Pavarde91544      Vardas91544                       4.10                4.00
Pavarde91545      Vardas91545                       6.80                6.60
Pavarde91546      Vardas91546                       4.60                5.00
Pavarde91547      Vardas91547                       6.82                7.00
Pavarde91548      Vardas91548                       5.24                5.60
Pavarde91549      Vardas91549                       4.94                4.80
Pavarde9155       Vardas9155                        7.78                8.00
Pavarde91550      Vardas91550                       7.04                7.00
Pavarde91551      Vardas91551                       4.62                4.80
Pavarde91552      Vardas91552                       4.46                4.60
Pavarde91553      Vardas91553                       5.82                6.00
Pavarde91554      Vardas91554                       6.74                6.40
Pavarde91555      Vardas91555                       8.16                7.80
Pavarde91556      Vardas91556                       7.86                7.60
Pavarde91557      Vardas91557                       6.16                5.60
Pavarde91558      Vardas91558                       6.54                6.60
Pavarde91559      Vardas91559                       7.12                6.80
Pavarde9156       Vardas9156                        3.98                3.60
Pavarde91560      Vardas91560                       8.54                8.40
Pavarde91561      Vardas91561                       5.30                5.40
Pavarde91562      Vardas91562                       4.26                3.80
Pavarde91563      Vardas91563                       4.48                4.40
Pavarde91564      Vardas91564                       7.06                7.20
Pavarde91565      Vardas91565                       7.36                7.60
Pavarde91566      Vardas91566                       4.88                5.00
Pavarde91567      Vardas91567                       6.98                6.60
Pavarde91568      Vardas91568                       5.30                5.20
Pavarde91569      Vardas91569                       2.64                2.60
Pavarde9157       Vardas9157                        3.68                3.80
Pavarde91570      Vardas91570                       3.18                3.20
Pavarde91571      Vardas91571                       5.06                5.00
Pavarde91572      Vardas91572                       2.30                2.20
Pavarde91573      Vardas91573                       3.36                3.60
Pavarde91574      Vardas91574                       6.42                7.00
Pavarde91575      Vardas91575                       5.36                5.80
Pavarde91576      Vardas91576                       6.28                6.00
Pavarde91577      Vardas91577                       4.06                4.00
Pavarde91578      Vardas91578                       6.56                7.00
Pavarde91579      Vardas91579                       3.06                3.00
Pavarde9158       Vardas9158                        7.96                7.60
Pavarde91580      Vardas91580                       5.84                5.80
Pavarde91581      Vardas91581                       6.58                6.60
Pavarde91582      Vardas91582                       5.64                5.60
Pavarde91583      Vardas91583                       3.36                3.40
Pavarde91584      Vardas91584                       7.56                7.60
Pavarde91585      Vardas91585                       5.34                5.20
